Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,17-2061,Computer Hardware Engineers,2380,137846,134355,92175,160682
1,36,New York State,17-2071,Electrical Engineers,8940,112134,106452,71014,132694
1,36,New York State,17-2072,"Electronics Engineers, Except Computer",2330,110766,106002,73656,129321
1,36,New York State,17-2081,Environmental Engineers,2590,102574,90324,66778,120472
1,36,New York State,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1310,114174,109194,77896,132313
1,36,New York State,17-2112,Industrial Engineers,12090,102202,100186,70996,117804
1,36,New York State,17-2131,Materials Engineers,590,107969,104057,69477,127216
1,36,New York State,17-2141,Mechanical Engineers,8230,105764,102330,70171,123559
1,36,New York State,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",,89054,84746,64076,101543
1,36,New York State,17-2161,Nuclear Engineers,250,131725,130067,90145,152514
1,36,New York State,17-2171,Petroleum Engineers,,99414,89178,75856,111193
1,36,New York State,17-2199,"Engineers, All Other",4400,112719,108658,71949,133105
1,36,New York State,17-3011,Architectural and Civil Drafters,6410,71094,66079,49070,82107
1,36,New York State,17-3012,Electrical and Electronics Drafters,1190,84467,79752,49221,102091
1,36,New York State,17-3013,Mechanical Drafters,1430,73644,66473,48378,86276
1,36,New York State,17-3019,"Drafters, All Other",820,74028,67239,51045,85519
1,36,New York State,17-3021,Aerospace Engineering and Operations Technicians,,64468,63225,48751,72326
1,36,New York State,17-3022,Civil Engineering Technicians,1590,66116,66514,43343,77504
1,36,New York State,17-3023,Electrical and Electronic Engineering Technicians,4400,72300,67686,48043,84429
1,36,New York State,17-3024,Electro-Mechanical Technicians,440,81671,65943,54594,95209
1,36,New York State,17-3025,Environmental Engineering Technicians,930,59333,52940,46797,65601
1,36,New York State,17-3026,Industrial Engineering Technicians,2970,67079,63552,45413,77913
1,36,New York State,17-3027,Mechanical Engineering Technicians,1300,67315,65226,46226,77859
1,36,New York State,17-3028,Calibration Technologists and Technicians,,62383,56201,37369,74891
1,36,New York State,17-3029,"Engineering Technicians, Except Drafters, All Other",1840,65698,63971,45500,75796
1,36,New York State,17-3031,Surveying and Mapping Technicians,1780,61730,55243,40535,72327
1,36,New York State,19-0000,"Life, Physical, and Social Science Occupations",69040,91656,81403,50640,112165
1,36,New York State,19-1011,Animal Scientists,,102159,97456,62828,121825
1,36,New York State,19-1012,Food Scientists and Technologists,930,97703,97025,66444,113333
1,36,New York State,19-1013,Soil and Plant Scientists,,87008,79155,56905,102061
1,36,New York State,19-1021,Biochemists and Biophysicists,1290,112225,104140,62285,137195
1,36,New York State,19-1022,Microbiologists,1040,84614,72045,54473,99684
1,36,New York State,19-1023,Zoologists and Wildlife Biologists,390,82435,80021,61375,92966
1,36,New York State,19-1029,"Biological Scientists, All Other",2210,118521,107207,78894,138334
1,36,New York State,19-1031,Conservation Scientists,430,71947,63799,45688,85076
1,36,New York State,19-1032,Foresters,250,80787,79413,60102,91130
1,36,New York State,19-1041,Epidemiologists,,130721,91779,69093,161535
1,36,New York State,19-1042,"Medical Scientists, Except Epidemiologists",6740,107114,85387,62388,129476
1,36,New York State,19-1099,"Life Scientists, All Other",,105873,84364,69447,124085
1,36,New York State,19-2012,Physicists,990,173313,177647,98721,210608
1,36,New York State,19-2021,Atmospheric and Space Scientists,300,108403,94957,54718,135247
1,36,New York State,19-2031,Chemists,3670,93429,82750,56962,111663
1,36,New York State,19-2032,Materials Scientists,590,122043,122850,70403,147863
1,36,New York State,19-2041,"Environmental Scientists and Specialists, Including Health",3680,93033,82859,58519,110290
1,36,New York State,19-2042,"Geoscientists, Except Hydrologists and Geographers",780,87626,81518,58528,102175
1,36,New York State,19-2043,Hydrologists,,96676,87991,60770,114630
1,36,New York State,19-2099,"Physical Scientists, All Other",,118801,107372,79920,138242
1,36,New York State,19-3011,Economists,940,150345,129064,57143,196946
1,36,New York State,19-3022,Survey Researchers,320,88213,83923,55926,104358
1,36,New York State,19-3033,Clinical and Counseling Psychologists,4400,133461,108183,68069,166156
1,36,New York State,19-3034,School Psychologists,6410,103580,96226,65698,122521
1,36,New York State,19-3039,"Psychologists, All Other",620,95125,110093,39015,123180
1,36,New York State,19-3041,Sociologists,,106384,104839,75013,122068
1,36,New York State,19-3051,Urban and Regional Planners,1400,91755,84370,60782,107241
1,36,New York State,19-3091,Anthropologists and Archeologists,,69150,56397,40472,83489
1,36,New York State,19-3093,Historians,480,50735,40758,32615,59794
1,36,New York State,19-3094,Political Scientists,,128039,126983,87610,148254
1,36,New York State,19-3099,"Social Scientists and Related Workers, All Other",2230,101586,90653,69531,117613
1,36,New York State,19-4012,Agricultural Technicians,300,49395,48784,35857,56165
1,36,New York State,19-4013,Food Science Technicians,340,57186,52919,40923,65317
1,36,New York State,19-4021,Biological Technicians,4100,58564,60232,40264,67713
1,36,New York State,19-4031,Chemical Technicians,2230,60627,58502,42652,69615
1,36,New York State,19-4042,"Environmental Science and Protection Technicians, Including Health",1890,56083,50382,38149,65050
1,36,New York State,19-4043,"Geological Technicians, Except Hydrologic Technicians",,66797,60644,46585,76904
1,36,New York State,19-4044,Hydrologic Technicians,,65444,61904,45191,75571
1,36,New York State,19-4051,Nuclear Technicians,,111873,113880,81734,126941
1,36,New York State,19-4061,Social Science Research Assistants,2920,60184,51523,34215,73168
1,36,New York State,19-4092,Forensic Science Technicians,730,85257,82184,61715,97027
1,36,New York State,19-4099,"Life, Physical, and Social Science Technicians, All Other",7400,62963,62327,41557,73667
1,36,New York State,19-5011,Occupational Health and Safety Specialists,4930,88097,82867,54802,104745
1,36,New York State,19-5012,Occupational Health and Safety Technicians,1000,65866,66169,44070,76764
1,36,New York State,21-0000,Community and Social Service Occupations,183940,64923,59906,39593,77588
1,36,New York State,21-1012,"Educational, Guidance, School, and Vocational Counselors",22890,73895,65524,44196,88744
1,36,New York State,21-1013,Marriage and Family Therapists,1260,63934,55830,36356,77724
1,36,New York State,21-1015,Rehabilitation Counselors,2250,53961,49263,36257,62814
1,36,New York State,21-1018,"Substance abuse, behavioral disorder, and mental health counselors?(OES-specific code and title)",22810,62634,56375,40584,73659
1,36,New York State,21-1019,"Counselors, All Other",,52883,51805,35537,61556
1,36,New York State,21-1021,"Child, Family, and School Social Workers",23740,73408,68124,50700,84762
1,36,New York State,21-1022,Healthcare Social Workers,25210,62759,57023,41980,73148
1,36,New York State,21-1023,Mental Health and Substance Abuse Social Workers,12170,82759,78043,52303,97988
1,36,New York State,21-1029,"Social Workers, All Other",1940,81564,79289,63523,90584
1,36,New York State,21-1091,Health Educators,2920,66372,63965,44093,77510
1,36,New York State,21-1092,Probation Officers and Correctional Treatment Specialists,5130,84496,80835,63544,94973
1,36,New York State,21-1093,Social and Human Service Assistants,33460,45604,40942,33430,51691
1,36,New York State,21-1094,Community Health Workers,6930,56435,52285,38170,65567
1,36,New York State,21-1099,"Community and Social Service Specialists, All Other",7530,67291,61184,51979,74946
1,36,New York State,21-2011,Clergy,7260,72525,58773,34107,91734
1,36,New York State,21-2021,"Directors, Religious Activities and Education",6340,71521,51483,37167,88698
1,36,New York State,21-2099,"Religious Workers, All Other",1880,46368,36284,30150,54478
1,36,New York State,23-0000,Legal Occupations,125210,161373,129660,66953,208582
1,36,New York State,23-1011,Lawyers,86230,196159,179527,95005,246736
1,36,New York State,23-1012,Judicial Law Clerks,,123701,145026,61886,154609
1,36,New York State,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1150,119742,113683,90953,134137
1,36,New York State,23-1023,"Judges, Magistrate Judges, and Magistrates",3130,182441,189918,98872,224225
1,36,New York State,23-2011,Paralegals and Legal Assistants,30020,72547,65138,48317,84663
1,36,New York State,23-2093,"Title Examiners, Abstractors, and Searchers",1900,72281,65265,44918,85964
1,36,New York State,23-2099,"Legal Support Workers, All Other",1240,82510,71991,48719,99406
1,36,New York State,25-0000,"Education, Training, and Library Occupations",676850,81656,66117,37024,103973
1,36,New York State,25-1011,"Business Teachers, Postsecondary",8920,132854,109357,57873,170346
1,36,New York State,25-1021,"Computer Science Teachers, Postsecondary",,109993,101687,55727,137126
1,36,New York State,25-1022,"Mathematical Science Teachers, Postsecondary",,120687,105117,62008,150027
1,36,New York State,25-1031,"Architecture Teachers, Postsecondary",,150117,133934,93958,178198
1,36,New York State,25-1032,"Engineering Teachers, Postsecondary",,136382,125173,81563,163791
1,36,New York State,25-1042,"Biological Science Teachers, Postsecondary",,127761,109053,65726,158779
1,36,New York State,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",,83909,82780,52228,99749
1,36,New York State,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",,122844,107161,64416,152057
1,36,New York State,25-1052,"Chemistry Teachers, Postsecondary",,116339,103246,65636,141690
1,36,New York State,25-1053,"Environmental Science Teachers, Postsecondary",,108882,101050,61706,132469
1,36,New York State,25-1054,"Physics Teachers, Postsecondary",,122733,109220,67141,150530
1,36,New York State,25-1061,"Anthropology and Archeology Teachers, Postsecondary",,122795,107241,69657,149364
1,36,New York State,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",,114432,103765,65100,139099
1,36,New York State,25-1063,"Economics Teachers, Postsecondary",,143404,133382,76989,176612
1,36,New York State,25-1064,"Geography Teachers, Postsecondary",,98521,98550,65627,114966
1,36,New York State,25-1065,"Political Science Teachers, Postsecondary",,131333,109722,66337,163830
1,36,New York State,25-1066,"Psychology Teachers, Postsecondary",,109839,103604,56898,136310
1,36,New York State,25-1067,"Sociology Teachers, Postsecondary",,115673,103745,57429,144795
1,36,New York State,25-1069,"Social Sciences Teachers, Postsecondary, All Other",2990,113261,99563,55374,142205
1,36,New York State,25-1071,"Health Specialties Teachers, Postsecondary",,153727,133002,70306,195437
1,36,New York State,25-1072,"Nursing Instructors and Teachers, Postsecondary",4410,104054,95865,52206,129978
1,36,New York State,25-1081,"Education Teachers, Postsecondary",,107079,86859,48723,136257
1,36,New York State,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",980,100700,83022,48203,126949
1,36,New York State,25-1112,"Law Teachers, Postsecondary",2370,147642,132058,55836,193545
1,36,New York State,25-1113,"Social Work Teachers, Postsecondary",1730,97022,83894,55528,117770
1,36,New York State,25-1121,"Art, Drama, and Music Teachers, Postsecondary",15710,137582,106802,61579,175584
1,36,New York State,25-1122,"Communications Teachers, Postsecondary",,103172,84779,55760,126878
1,36,New York State,25-1123,"English Language and Literature Teachers, Postsecondary",,111711,103369,56720,139205
1,36,New York State,25-1124,"Foreign Language and Literature Teachers, Postsecondary",,98011,84897,53310,120361
1,36,New York State,25-1125,"History Teachers, Postsecondary",,108317,101730,59551,132701
1,36,New York State,25-1126,"Philosophy and Religion Teachers, Postsecondary",2200,107490,98527,56095,133186
1,36,New York State,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",,93574,85166,51531,114596
1,36,New York State,25-1194,"Vocational Education Teachers, Postsecondary",4930,84157,67379,49927,101271
1,36,New York State,25-1199,"Postsecondary Teachers, All Other",3870,119814,105116,60818,149311
1,36,New York State,25-2011,"Preschool Teachers, Except Special Education",26950,48208,38778,32582,56023
1,36,New York State,25-2012,"Kindergarten Teachers, Except Special Education",7750,93084,85208,53367,112943
1,36,New York State,25-2021,"Elementary School Teachers, Except Special Education",98300,93027,83534,55646,111719
1,36,New York State,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",39670,96973,99118,61968,114476
1,36,New York State,25-2023,"Career/Technical  Education Teachers, Middle School",1270,86864,79378,59842,100375
1,36,New York State,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",66360,94803,87297,57212,113599
1,36,New York State,25-2032,"Career/Technical Education Teachers, Secondary School",5680,86813,80794,57933,101254
1,36,New York State,25-2051,"Special Education Teachers, Preschool",3470,103445,105127,57118,126609
1,36,New York State,25-2052,"Special Education Teachers, Kindergarten and Elementary School",18010,90261,83872,58328,106228
1,36,New York State,25-2057,"Special Education Teachers, Middle School",6760,97232,97686,65733,112982
1,36,New York State,25-2058,"Special Education Teachers, Secondary School",15620,92597,83645,59519,109136
1,36,New York State,25-2059,"Special Education Teachers, All Other",3750,119220,126545,62726,147466
1,36,New York State,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,3370,79555,79012,50955,93854
1,36,New York State,25-3021,Self-Enrichment Education Teachers,28750,67659,53869,35138,83921
1,36,New York State,25-3031,"Substitute Teachers, Short-Term",35640,45614,38859,31667,52588
1,36,New York State,25-3041,Tutors,14930,69698,39961,33155,87970
1,36,New York State,25-3099,"Teachers and Instructors, All Other",2640,84970,80268,45939,104485
1,36,New York State,25-4011,Archivists,940,75523,65733,47817,89377
1,36,New York State,25-4012,Curators,1660,102697,83367,54816,126637
1,36,New York State,25-4013,Museum Technicians and Conservators,1320,71470,67224,43990,85211
1,36,New York State,25-4022,Librarians and Media Collections Specialists,11970,80109,77088,52773,93777
1,36,New York State,25-4031,Library Technicians,4750,46217,41670,31103,53773
1,36,New York State,25-9021,Farm and Home Management Advisors,,78036,63496,61351,86379
1,36,New York State,25-9031,Instructional Coordinators,19140,82130,80618,50400,97995
1,36,New York State,25-9044,"Teaching Assistants, Postsecondary",,51267,49509,34581,59609
1,36,New York State,25-9045,"Teaching Assistants, Except Postsecondary",120090,37788,35761,29973,41694
1,36,New York State,25-9099,"Education, Training, and Library Workers, All Other",760,64894,57195,42860,75912
1,36,New York State,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",214960,100078,81892,46296,126971
1,36,New York State,27-1011,Art Directors,9980,159921,152063,78321,200721
1,36,New York State,27-1012,Craft Artists,,67187,58384,35113,83223
1,36,New York State,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",1770,134946,115238,65708,169565
1,36,New York State,27-1014,Multimedia Artists and Animators,1600,104094,84372,55363,128460
1,36,New York State,27-1019,"Artists and Related Workers, All Other",,88539,80486,49044,108286
1,36,New York State,27-1021,Commercial and Industrial Designers,2050,86489,77997,51054,104206
1,36,New York State,27-1022,Fashion Designers,7130,98988,84624,56158,120403
1,36,New York State,27-1023,Floral Designers,2450,40347,37656,32075,44482
1,36,New York State,27-1024,Graphic Designers,18590,84499,78910,51219,101138
1,36,New York State,27-1025,Interior Designers,6770,77310,76575,46393,92769
1,36,New York State,27-1026,Merchandise Displayers and Window Trimmers,9210,45100,39858,33703,50799
1,36,New York State,27-1027,Set and Exhibit Designers,1460,84455,66426,40464,106451
1,36,New York State,27-1029,"Designers, All Other",1280,100799,90109,60887,120756
1,36,New York State,27-2012,Producers and Directors,28120,125668,107997,60842,158082
1,36,New York State,27-2022,Coaches and Scouts,13420,64607,51945,34832,79495
1,36,New York State,27-3011,Radio and Television Announcers,2000,148526,70800,36579,204500
1,36,New York State,27-3023,"News Analysts, Reporters, and Journalist",5650,105367,86399,52763,131668
1,36,New York State,27-3031,Public Relations Specialists,28160,90437,80760,52012,109649
1,36,New York State,27-3041,Editors,20050,111577,98250,61268,136732
1,36,New York State,27-3042,Technical Writers,2120,96882,89459,62245,114201
1,36,New York State,27-3043,Writers and Authors,6950,115595,88284,57744,144519
1,36,New York State,27-3091,Interpreters and Translators,2500,79996,68089,42528,98729
1,36,New York State,27-3092,Court Reporters and Simultaneous Captioners,,110428,109064,79234,126026
1,36,New York State,27-3099,"Media and Communication Workers, All Other",930,89616,62575,45537,111655
1,36,New York State,27-4011,Audio and Video Equipment Technicians,6470,69505,63718,42587,82964
1,36,New York State,27-4012,Broadcast Technicians,3520,77740,69797,40453,96384
1,36,New York State,27-4014,Sound Engineering Technicians,1520,95133,89713,46490,119454
1,36,New York State,27-4015,Lighting Technicians,510,82181,68732,45228,100657
1,36,New York State,27-4021,Photographers,4070,71601,62033,38949,87927
1,36,New York State,27-4031,"Camera Operators, Television, Video, and Motion Picture",2030,101891,88590,50611,127531
1,36,New York State,27-4032,Film and Video Editors,6190,117724,104376,54145,149514
1,36,New York State,27-4099,"Media and Communication Equipment Workers, All Other",,81342,85340,50522,96751
1,36,New York State,29-0000,Healthcare Practitioners and Technical Occupations,560260,115155,94085,55946,144760
1,36,New York State,29-1011,Chiropractors,1890,101476,96847,59264,122582
1,36,New York State,29-1021,"Dentists, General",6530,187035,175621,87915,236595
1,36,New York State,29-1022,Oral and Maxillofacial Surgeons,520,258939,227863,188444,
1,36,New York State,29-1023,Orthodontists,390,239577,180206,102839,307946
1,36,New York State,29-1029,"Dentists, All Other Specialists",,228117,186231,87450,298452
1,36,New York State,29-1031,Dietitians and Nutritionists,5200,82987,79590,57215,95873
1,36,New York State,29-1041,Optometrists,2170,146129,147872,86936,175724
1,36,New York State,29-1051,Pharmacists,19930,135722,137685,104658,151254
1,36,New York State,29-1071,Physician Assistants,14790,140828,139528,110141,156172
1,36,New York State,29-1081,Podiatrists,1020,155079,134398,84037,190599
1,36,New York State,29-1122,Occupational Therapists,8660,98944,89689,67213,114809
1,36,New York State,29-1123,Physical Therapists,15300,107564,100917,75584,123555
1,36,New York State,29-1124,Radiation Therapists,1030,138962,113794,87238,164824
1,36,New York State,29-1125,Recreational Therapists,1430,65641,63832,47457,74733
1,36,New York State,29-1126,Respiratory Therapists,6530,94919,93938,73583,105587
1,36,New York State,29-1127,Speech-Language Pathologists,13760,108241,104606,67377,128675
1,36,New York State,29-1128,Exercise Physiologists,,72948,67217,49372,84736
1,36,New York State,29-1129,"Therapists, All Other",1160,87619,61774,43115,109872
1,36,New York State,29-1131,Veterinarians,3810,140324,132115,82497,169238
1,36,New York State,29-1141,Registered Nurses,190470,103975,104230,73799,119064
1,36,New York State,29-1151,Nurse Anesthetists,1690,247888,235040,194571,
1,36,New York State,29-1161,Nurse Midwives,790,134595,132256,108136,147824
1,36,New York State,29-1181,Audiologists,1010,86987,81182,60535,100212
1,36,New York State,29-1211,Anesthesiologists,2210,321243,,98912,
1,36,New York State,29-1212,Cardiologists,2370,362268,,125740,
1,36,New York State,29-1213,Dermatologists,620,369760,,130667,
1,36,New York State,29-1214,Emergency Medicine Physicians,4610,259881,,98210,
1,36,New York State,29-1215,Family Medicine Physicians,3500,203088,184775,83124,263071
1,36,New York State,29-1216,General Internal Medicine Physicians,13080,202611,174151,77317,265258
1,36,New York State,29-1217,Neurologists,890,244212,218119,81193,325721
1,36,New York State,29-1218,Obstetricians and Gynecologists,2480,276597,,93014,
1,36,New York State,29-1221,"Pediatricians, General",4940,199348,186901,90210,253917
1,36,New York State,29-1222,"Physicians, Pathologists",930,319236,,114232,
1,36,New York State,29-1223,Psychiatrists,4090,214869,217230,81809,281399
1,36,New York State,29-1224,Radiologists,1770,320843,,85817,438356
1,36,New York State,29-1229,"Physicians, All Other",14700,254952,220532,79944,342455
1,36,New York State,29-1241,"Ophthalmologists, Except Pediatric",1100,287211,227613,141469,360081
1,36,New York State,29-1243,Pediatric Surgeons,,431791,,211793,
1,36,New York State,29-1249,"Surgeons, All Other",3340,259041,161539,81259,347932
1,36,New York State,29-1291,Acupuncturists,640,74365,66086,51862,85617
1,36,New York State,29-1292,Dental Hygienists,13360,88120,92451,69344,97508
1,36,New York State,29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",820,118148,104520,68143,143150
1,36,New York State,29-2010,Clinical Laboratory Technologists and Technicians,16990,79035,82700,49695,93705
1,36,New York State,29-2031,Cardiovascular Technologists and Technicians,3290,77498,74923,48973,91760
1,36,New York State,29-2032,Diagnostic Medical Sonographers,5910,92775,89277,74705,101809
